id,synthetic,archetype,validation_confidence,archetype_distance,gender,age,education,employment,field,location,bank,tenure,digital_services,digital_frequency,digital_satisfaction,chatbot_interaction,perceived_usefulness,adoption_readiness,barriers,trust_privacy_barrier,governance_need,q14_1_ai_knowledge,q14_2_service_quality,q14_3_ai_credit_eval,q14_4_chatbot_preference,q14_5_privacy_concern,q14_6_job_replacement,q15_1_personalized_app,q15_2_fraud_detection_trust,q15_3_free_ai_advice,q15_4_transparency,q15_5_faster_ai_bank,q15_6_human_verification,q15_7_overall_readiness,q16_1_personalized_app,q16_2_fraud_detection_trust,q16_3_free_ai_advice,q16_4_transparency,q16_5_faster_ai_bank,q16_6_human_verification,q16_7_overall_readiness,q17_1_lack_knowledge,q17_2_data_misuse,q17_3_human_preference,q17_4_inaccurate_decisions,q17_5_extra_costs,comment
1,True,Traditionalist,0.728,0.816,Mashkull,46-55,Arsim baze (9-vjecar),I/e punesuar,Tregti / Sherbime,Tirane,Other,1-3 vjet,Nuk perdor asnje sherbim digjital bankar,Rralle ose kurre,3,Jo,1.333,1.5,4.333,4.667,4.0,2,1,1,2,5,4,1,2,1,3,2,4,2,1,2,1,3,2,4,3,3,5,5,4,4,Per ceshtje bankare preferoj te flas me nje person dhe jo me sistem automatik.
2,True,Early Adopter,0.857,0.428,Mashkull,36-45,Arsim i mesem (gjimnaz/profesional),I/e punesuar,Administrate publike,Tirane,Credins Bank,Mbi 5 vjet,"Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Cdo dite,4,Po,4.333,3.75,3.333,3.333,3.75,3,4,4,5,3,4,4,5,5,5,2,3,4,4,4,5,5,2,3,4,4,5,2,2,4,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
3,True,Early Adopter,0.744,0.769,Mashkull,18-25,Doktorature,I/e punesuar,Arsim,Zone rurale,Intesa Sanpaolo Bank,3-5 vjet,Internet banking (permes kompjuterit/browserit)|Karta debiti/krediti per pagesa online,Disa here ne jave,5,Jo,3.667,4.25,4.0,4.333,4.25,3,3,4,4,5,5,5,4,4,4,4,5,4,5,5,5,4,4,5,4,3,4,3,4,5,"IA mund te rrise shpejtesine e sherbimeve bankare, sidomos per rekomandime dhe zbulim mashtrimesh."
4,True,Cautious User,0.806,0.581,Femer,26-35,Master,I/e punesuar,Tregti / Sherbime,Qytet tjeter,OTP Bank,1-3 vjet,"Internet banking (permes kompjuterit/browserit)|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Disa here ne jave,3,Po,4.667,3.25,4.0,5.0,4.5,1,5,4,3,5,5,4,5,2,5,4,3,3,4,5,2,5,4,3,3,2,5,3,5,4,"Sherbimet me IA mund te ndihmojne, por vendimet e rendesishme duhet te verifikohen nga punonjesit e bankes."
5,True,Traditionalist,0.819,0.544,Mashkull,55+,Arsim baze (9-vjecar),I/e papune,Administrate publike,Vlore,Raiffeisen Bank,1-3 vjet,Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit),Disa here ne muaj,2,Jo,2.333,1.5,4.833,4.667,4.5,4,3,2,1,5,5,3,2,1,5,1,4,1,2,2,1,5,1,4,1,5,4,5,5,5,Per ceshtje bankare preferoj te flas me nje person dhe jo me sistem automatik.
6,True,Cautious User,0.815,0.554,Femer,26-35,Master,I/e papune,Finance / Banke / Sigurime,Korce,BKT (Banka Kombetare Tregtare),3-5 vjet,Mobile banking (aplikacioni i bankes ne telefon),Disa here ne jave,3,Po,3.667,4.25,3.833,4.0,4.25,2,5,3,2,4,4,5,3,4,5,5,4,3,5,2,4,5,5,4,3,2,4,4,4,5,"Jam i hapur ndaj IA, por privatesia dhe transparenca jane kushtet kryesore."
7,True,Early Adopter,0.825,0.524,Mashkull,18-25,Bachelor,Student/e,Tregti / Sherbime,Tirane,BKT (Banka Kombetare Tregtare),1-3 vjet,"Mobile banking (aplikacioni i bankes ne telefon)|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Disa here ne jave,4,Po,4.667,4.25,2.0,2.667,3.25,4,5,4,4,2,4,5,5,2,5,5,2,5,5,5,2,5,5,2,5,1,4,2,2,1,Do ta provoja nese banka e shpjegon qarte si ruhen te dhenat dhe si kontrollohen vendimet.
8,True,Early Adopter,0.765,0.706,Mashkull,55+,Arsim baze (9-vjecar),Student/e,Teknologji / IT,Durres,Credins Bank,Mbi 5 vjet,Mobile banking (aplikacioni i bankes ne telefon)|Karta debiti/krediti per pagesa online,Cdo dite,5,Po,4.333,4.5,1.833,2.333,3.0,4,5,3,5,3,2,5,5,4,4,5,4,4,4,5,4,4,5,4,4,1,3,2,1,1,Do ta provoja nese banka e shpjegon qarte si ruhen te dhenat dhe si kontrollohen vendimet.
9,True,Early Adopter,0.81,0.569,Mashkull,18-25,Master,Student/e,Bujqesi,Shkoder,Raiffeisen Bank,Me pak se 1 vit,"Mobile banking (aplikacioni i bankes ne telefon)|Internet banking (permes kompjuterit/browserit)|E-wallet (EasyPay, M-Pay, E-Posta, etj.)",Disa here ne jave,4,Nuk jam i/e sigurt,4.333,5.0,2.5,3.0,3.25,4,5,4,4,4,2,5,4,5,4,5,4,5,5,4,5,4,5,4,5,2,4,3,1,1,Do ta provoja nese banka e shpjegon qarte si ruhen te dhenat dhe si kontrollohen vendimet.
10,True,Cautious User,0.887,0.339,Mashkull,26-35,Arsim i mesem (gjimnaz/profesional),I/e dale ne pension,Ndertim / Inxhinieri,Qytet tjeter,BKT (Banka Kombetare Tregtare),Mbi 5 vjet,Mobile banking (aplikacioni i bankes ne telefon),Disa here ne jave,4,Jo,4.333,3.5,4.167,4.667,4.75,3,5,3,4,5,4,3,5,5,5,4,5,2,3,5,5,5,4,5,3,3,5,4,4,4,"Sherbimet me IA mund te ndihmojne, por vendimet e rendesishme duhet te verifikohen nga punonjesit e bankes."
